experiment_id,Imbalance ratio,Model,Sampler,Feature,Group,Role,Threshold used,DIR,n_samples,favourable_label_rate,default_label_rate
8,0.01,LogisticRegression,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.7188794843203238,760079.0,0.5931817613695418,0.4068182386304581
8,0.01,LogisticRegression,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7188794843203238,962734.0,0.4264261987215575,0.5735738012784425
9,0.01,LogisticRegression,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
9,0.01,LogisticRegression,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
9,0.01,LogisticRegression,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
9,0.01,LogisticRegression,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
10,0.01,RandomForestClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
10,0.01,RandomForestClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
10,0.01,RandomForestClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
10,0.01,RandomForestClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
11,0.01,RandomForestClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,1.0060942142408305,6663.0,0.5018760318174996,0.4981239681825004
11,0.01,RandomForestClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,1.0060942142408305,10739.0,0.4988360182512338,0.5011639817487662
11,0.01,RandomForestClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8852377284430001,8586.0,0.5308641975308642,0.4691358024691358
11,0.01,RandomForestClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8852377284430001,8816.0,0.4699410163339383,0.5300589836660617
